"","date","type","code","mid"
"1","2012/5/2","spot","USDCNH",6.3058
"2","2012/5/3","spot","USDCNH",6.3034
"3","2012/5/4","spot","USDCNH",6.305
"4","2012/5/7","spot","USDCNH",6.309
"5","2012/5/8","spot","USDCNH",6.3082
"6","2012/5/9","spot","USDCNH",6.3146
"7","2012/5/10","spot","USDCNH",6.313
"8","2012/5/11","spot","USDCNH",6.3148
"9","2012/5/14","spot","USDCNH",6.3225
"10","2012/5/15","spot","USDCNH",6.3212
"11","2012/5/16","spot","USDCNH",6.323
"12","2012/5/17","spot","USDCNH",6.3256
"13","2012/5/18","spot","USDCNH",6.3246
"14","2012/5/21","spot","USDCNH",6.323
"15","2012/5/22","spot","USDCNH",6.3262
"16","2012/5/23","spot","USDCNH",6.3339
"17","2012/5/24","spot","USDCNH",6.3431
"18","2012/5/25","spot","USDCNH",6.3465
"19","2012/5/28","spot","USDCNH",6.3426
"20","2012/5/29","spot","USDCNH",6.347
"21","2012/5/30","spot","USDCNH",6.3596
"22","2012/5/31","spot","USDCNH",6.3706
"23","2012/6/1","spot","USDCNH",6.3681
"24","2012/6/4","spot","USDCNH",6.3652
"25","2012/6/5","spot","USDCNH",6.366
"26","2012/6/6","spot","USDCNH",6.358
"27","2012/6/7","spot","USDCNH",6.358
"28","2012/6/8","spot","USDCNH",6.3741
"29","2012/6/11","spot","USDCNH",6.3712
"30","2012/6/12","spot","USDCNH",6.3711
"31","2012/6/13","spot","USDCNH",6.37
"32","2012/6/14","spot","USDCNH",6.368
"33","2012/6/15","spot","USDCNH",6.3731
"34","2012/6/18","spot","USDCNH",6.365
"35","2012/6/19","spot","USDCNH",6.357
"36","2012/6/20","spot","USDCNH",6.36
"37","2012/6/21","spot","USDCNH",6.3706
"38","2012/6/25","spot","USDCNH",6.373
"39","2012/6/26","spot","USDCNH",6.3666
"40","2012/6/27","spot","USDCNH",6.363
"41","2012/6/28","spot","USDCNH",6.3646
"42","2012/6/29","spot","USDCNH",6.3551
"43","2012/7/2","spot","USDCNH",6.354
