"","date","type","code","mid"
"1","2012/5/2","index","USDX",79.16
"2","2012/5/3","index","USDX",79.21
"3","2012/5/4","index","USDX",79.51
"4","2012/5/7","index","USDX",79.56
"5","2012/5/8","index","USDX",79.87
"6","2012/5/9","index","USDX",80.13
"7","2012/5/10","index","USDX",80.22
"8","2012/5/11","index","USDX",80.26
"9","2012/5/14","index","USDX",80.68
"10","2012/5/15","index","USDX",81.23
"11","2012/5/16","index","USDX",81.42
"12","2012/5/17","index","USDX",81.55
"13","2012/5/18","index","USDX",81.09
"14","2012/5/21","index","USDX",80.97
"15","2012/5/22","index","USDX",81.65
"16","2012/5/23","index","USDX",82.02
"17","2012/5/24","index","USDX",82.28
"18","2012/5/25","index","USDX",82.4
"19","2012/5/28","index","USDX",82.21
"20","2012/5/29","index","USDX",82.48
"21","2012/5/30","index","USDX",83.07
"22","2012/5/31","index","USDX",83.08
"23","2012/6/1","index","USDX",82.89
"24","2012/6/4","index","USDX",82.56
"25","2012/6/5","index","USDX",82.79
"26","2012/6/6","index","USDX",82.18
"27","2012/6/7","index","USDX",82.26
"28","2012/6/8","index","USDX",82.51
"29","2012/6/11","index","USDX",82.67
"30","2012/6/12","index","USDX",82.42
"31","2012/6/13","index","USDX",82.19
"32","2012/6/14","index","USDX",81.85
"33","2012/6/15","index","USDX",81.59
"34","2012/6/18","index","USDX",81.95
"35","2012/6/19","index","USDX",81.39
"36","2012/6/20","index","USDX",81.42
"37","2012/6/21","index","USDX",82.3
"38","2012/6/25","index","USDX",82.44
"39","2012/6/26","index","USDX",82.39
"40","2012/6/27","index","USDX",82.55
"41","2012/6/28","index","USDX",82.72
"42","2012/6/29","index","USDX",81.58
"43","2012/7/2","index","USDX",81.87
"44","2012/7/3","index","USDX",81.79
"45","2012/7/4","index","USDX",82.17
"46","2012/7/5","index","USDX",82.82
"47","2012/7/6","index","USDX",83.28
"48","2012/7/9","index","USDX",83.13
"49","2012/7/10","index","USDX",83.38
"50","2012/7/11","index","USDX",83.48
"51","2012/7/12","index","USDX",83.63
"52","2012/7/13","index","USDX",83.29
"53","2012/7/16","index","USDX",83.13
"54","2012/7/17","index","USDX",83.03
"55","2012/7/18","index","USDX",82.98
"56","2012/7/19","index","USDX",82.91
"57","2012/7/20","index","USDX",83.49
"58","2012/7/23","index","USDX",83.77
"59","2012/7/24","index","USDX",84.02
"60","2012/7/25","index","USDX",83.59
"61","2012/7/26","index","USDX",82.85
